cap;1.2.2023;;;ice;1.2.2023;;;temp;1.2.2023;;
;4132895.209;6714920.826;8640545.535;;0.911243004;0.918966271;0.922674595;;-1.538341742;-2.499480133;-3.216414161
;3792237.17;6031278.071;7806792.814;;0.494531392;0.502688655;0.506871236;;-1.412261039;-2.246249825;-2.907699
;3381346.578;5219966.722;6797144.773;;0.428700388;0.436562704;0.440986989;;-1.259228492;-1.944039418;-2.531551669
;2968525.901;4417795.912;5781354.329;;0.430721331;0.438157437;0.442832519;;-1.105480956;-1.645252724;-2.153152012
;2557224.062;3630545.331;4770607.118;;0.388350841;0.395159293;0.400115808;;-0.952302687;-1.352039879;-1.776663058
;2416039.701;3363753.187;4424588.266;;0.37333785;0.379860919;0.38492015;;-0.899723168;-1.252676076;-1.647782617
;2333329.034;3210269.743;4223611.189;;0.382972429;0.389316646;0.394430928;;-0.868920453;-1.195513588;-1.572926839
;2253045.495;3064037.079;4030468.08;;0.384520784;0.390688211;0.395851172;;-0.839021763;-1.141052022;-1.500989871
;2174451.677;2923548.867;3843449.094;;0.384246545;0.390237771;0.395443056;;-0.809752466;-1.088730303;-1.431334745
;2097590.353;2788736.87;3662713.941;;0.388380801;0.394196652;0.399437523;;-0.781128481;-1.038522955;-1.364020836
;2021863.768;2658422.231;3486905.868;;0.379459121;0.385100114;0.390370983;;-0.752927192;-0.989990893;-1.298542735
;1945649.835;2529745.555;3312346.764;;0.356910386;0.362373072;0.367668711;;-0.724544514;-0.942069181;-1.233530506
;1869397.729;2403425.011;3140177.128;;0.357286802;0.362566982;0.367879994;;-0.696147723;-0.895025257;-1.169408873
;1791889.941;2277423.327;2967775.434;;0.316385657;0.321477637;0.326803398;;-0.667283413;-0.848100389;-1.105201461
;1711127.09;2148543.273;2790901.826;;0.289581204;0.294471998;0.299803787;;-0.637207012;-0.800103885;-1.039329236
;1641117.486;2039033.116;2640627.71;;0.350488428;0.357998925;0.366700054;;-0.611135251;-0.759321209;-0.983363845
