cap;5.1.2023;6.1.2023;7.1.2023;8.1.2023;;ice;5.1.2023;6.1.2023;7.1.2023;8.1.2023;temp;5.1.2023;;;
;8665790.239;12217256.72;10922043.56;7544998.866;;;0.686582484;0.691616352;0.69002015;0.684432023;;-3.227752083;-4.551349611;-4.068562728;-2.81016325
;7814165.146;10955428.57;10039684.42;7182213.849;;;0.506874774;0.51198909;0.510706231;0.505534986;;-2.910445725;-4.08100577;-3.739716018;-2.675005853
;6888949.451;9578329.804;9032269.191;6731296.403;;;0.44120376;0.446354698;0.445465404;0.440827299;;-2.565752235;-3.567788628;-3.364307498;-2.507020949
;5963614.603;8197600.503;7984485.335;6230720.927;;;0.443354729;0.448498105;0.448086172;0.444085052;;-2.221044657;-3.053305978;-2.97390286;-2.320544701
;5045123.903;6826177.296;6913179.647;5692319.176;;;0.401094824;0.406182177;0.406387902;0.403166716;;-1.878913712;-2.542367303;-2.57477891;-2.119986458
;4730274.904;6356244.157;6538309.303;5496696.493;;;0.386107457;0.391155572;0.39162102;0.388714328;;-1.761640491;-2.367304291;-2.435127666;-2.047117953
;4546838.213;6083348.917;6314821.457;5374351.365;;;0.395754319;0.400773488;0.401394231;0.398676446;;-1.693316263;-2.26564672;-2.351873556;-2.001545574
;4369824.5;5821066.135;6094654.479;5248447.254;;;0.397315598;0.402305238;0.403075419;0.400539744;;-1.62738524;-2.167944722;-2.269858163;-1.954647971
;4197546.182;5566951.062;5876338.666;5118522.52;;;0.397054804;0.402013729;0.402928899;0.400570828;;-1.563218762;-2.073287307;-2.188533908;-1.906253228
;4030051.123;5321117.665;5660489.39;4985275.086;;;0.401202715;0.40612952;0.407185177;0.405000616;;-1.500834575;-1.981716673;-2.108129936;-1.85662134
;3865998.655;5081627.427;5445865.429;4848231.417;;;0.3922963;0.397190887;0.398384164;0.39636996;;-1.439733272;-1.892510525;-2.028183818;-1.805575959
;3701859.7;4843371.28;5228218.238;4704851.868;;;0.369763948;0.374625438;0.375956895;0.374114268;;-1.378600413;-1.803765688;-1.947112976;-1.752171178
;3538609.058;4607817.793;5009168.301;4556328.219;;;0.370157096;0.374982256;0.376451429;0.374782495;;-1.317799038;-1.716029081;-1.865521026;-1.69685096
;3373656.562;4371285.438;4785525.753;4400580.362;;;0.329274192;0.334063201;0.335674199;0.334183143;;-1.256364451;-1.627929382;-1.782219823;-1.638840595
;3202785.531;4127820.113;4551785.04;4233737.756;;;0.302435534;0.30718394;0.308945234;0.307644812;;-1.192726225;-1.53724893;-1.695158783;-1.576698548
;3056336.131;3920939.563;4350562.389;4086728.813;;;0.371667653;0.379668152;0.382937924;0.38097336;;-1.138183964;-1.460195926;-1.62021087;-1.521944322
;2930203.168;3744394.759;4176431.979;3956348.396;;;0.358488103;0.366406018;0.369859769;0.368153952;;-1.09120854;-1.394442354;-1.555354655;-1.473383929
;2805508.708;3571226.027;4003280.269;3823714.999;;;0.356230765;0.364065118;0.36769597;0.366243014;;-1.044769185;-1.329946914;-1.490863731;-1.423984841
;2683111.129;3402598.023;3832489.774;3690041.548;;;0.355729774;0.363482479;0.367284126;0.366077892;;-0.999185559;-1.267143307;-1.427252978;-1.374198817
;2561733.757;3236732.052;3662463.988;3554220.934;;;0.337587128;0.345264345;0.349236223;0.348276525;;-0.953982182;-1.20536902;-1.363927743;-1.323613528
;2439786.173;3071459.932;3491135.781;3414686.65;;;0.317118316;0.324723696;0.328866667;0.32815612;;-0.908566741;-1.143816511;-1.300118119;-1.271645559
;2317876.452;2907607.393;3319495.886;3272314.944;;;0.308317555;0.315850687;0.320161789;0.319699067;;-0.863165691;-1.08279328;-1.236193089;-1.218621282
;2196821.699;2746255.383;3148828.319;3128271.438;;;0.299382862;0.30685225;0.311334555;0.311123629;;-0.818083323;-1.022701869;-1.172630845;-1.164974826
;2077456.226;2588475.467;2980433.983;2983788.925;;;0.302184107;0.309590703;0.314240244;0.314277575;;-0.773630333;-0.963941308;-1.109915852;-1.111165325
;1960806.019;2435561.34;2815872.357;2840371.154;;;0.307763147;0.315112129;0.319926729;0.320209529;;-0.730188789;-0.906993344;-1.048628856;-1.057752805
;1846057.928;2286389.307;2654108.228;2697281.111;;;0.300939604;0.308244067;0.313229403;0.313762496;;-0.687455847;-0.851439441;-0.988384268;-1.004462765
;1731808.378;2139099.746;2493267.829;2552985.302;;;0.288243223;0.29551036;0.300670655;0.301458437;;-0.644908793;-0.796587013;-0.928484221;-0.950724093
;1617246.999;1992633.025;2332309.132;2406634.912;;;0.271220962;0.27846575;0.283813734;0.284869339;;-0.602245838;-0.742041417;-0.868540627;-0.896220675
;1502548.366;1847197.445;2171564.774;2258609.647;;;0.261558398;0.268788102;0.27433172;0.275663703;;-0.559531988;-0.68788021;-0.80867735;-0.841093926
;1388510.23;1703776.854;2012227.895;2110100.156;;;0.255424788;0.262650119;0.268400484;0.270019855;;-0.517064321;-0.63446976;-0.74933871;-0.785787259
;1274955.789;1562121.673;1854131.988;1961053.869;;;0.243794942;0.251051046;0.257040104;0.258976891;;-0.474776988;-0.581717101;-0.690462673;-0.730281091
;1162121.605;1422493.365;1697671.471;1811943.844;;;0.240857745;0.248147477;0.25438567;0.256650322;;-0.432758076;-0.529719578;-0.632196097;-0.674751583
;1050385.522;1285326.87;1543437.432;1663441.069;;;0.234203139;0.24159036;0.248136145;0.25078104;;-0.391148283;-0.478639139;-0.574759079;-0.619448603
;940513.852;1151510.819;1392525.304;1516716.164;;;0.241176443;0.248647277;0.255505987;0.258536443;;-0.350232967;-0.42880668;-0.518559526;-0.564808074
