cap;5.3.2023;;;;;ice;5.3.2023;;;;;temp;5.3.2023;;;;
;5536342.972;8460413.284;9710346.271;8758574.642;7743260.595;;0.915990273;0.922372292;0.924325194;0.92286856;0.921086395;;-2.060743776;-3.149344699;-3.614780966;-3.260364654;-2.882328579
;5165461.709;7710180.491;8918251.705;8190092.043;7319875.914;;0.500059455;0.506677059;0.50893645;0.507623556;0.505852308;;-1.923737217;-2.871704143;-3.321822296;-3.050508422;-2.726291977
;4716180.827;6817993.901;7951773.114;7474203.48;6782392.416;;0.43479191;0.441037046;0.443494988;0.442515596;0.440951892;;-1.756390871;-2.539318698;-2.961714998;-2.783787684;-2.52605591
;4261825.575;5932750.506;6971909.691;6728016.417;6216809.458;;0.437511216;0.443267017;0.445925335;0.445347092;0.444047217;;-1.587160061;-2.20954759;-2.596658184;-2.505799049;-2.315362468
;3806214.043;5060656.507;5990357.363;5963496.939;5631890.735;;0.396038313;0.401148667;0.404026633;0.403951333;0.402986116;;-1.417466671;-1.884699283;-2.231006526;-2.221000827;-2.09747703
;3648730.189;4763688.401;5652217.078;5695569.418;5425078.039;;0.381393698;0.386232204;0.389189859;0.389319409;0.388490693;;-1.35881269;-1.774086035;-2.105048524;-2.121197167;-2.020440716
;3555840.695;4592199.491;5454482.646;5535423.849;5299901.296;;0.39125834;0.3959306;0.398929717;0.399181196;0.39843653;;-1.324216792;-1.710211785;-2.031393652;-2.061543614;-1.973813859
;3465081.267;4428191.56;5263195.383;5377243.829;5174724.586;;0.393042819;0.397553438;0.400588076;0.400956674;0.40029536;;-1.290414413;-1.649124707;-1.960141429;-2.002622983;-1.927187477
;3375649.293;4269997.274;5076748.525;5219993.88;5048770.465;;0.393012307;0.397364336;0.400428725;0.400910635;0.400332664;;-1.257106616;-1.590203674;-1.890693232;-1.944049534;-1.88027198
;3287623.134;4117562.268;4895378.251;5064136.066;4922447.415;;0.397397465;0.401593996;0.404682237;0.405273499;0.404778735;;-1.224322573;-1.533428353;-1.82313693;-1.885995347;-1.833219519
;3200344.849;3969573.344;4717788.455;4908793.083;4795079.526;;0.38873804;0.39278204;0.39588939;0.396587071;0.396175787;;-1.191817236;-1.478309563;-1.756989664;-1.828133618;-1.785778334
;3111956.417;3822784.174;4540293.098;4750902.184;4664158.838;;0.366470258;0.370361275;0.373483395;0.374287013;0.373961397;;-1.158898614;-1.423638159;-1.690878436;-1.769323542;-1.737014292
;3022987.881;3678013.156;4364071.577;4591646.303;4530657.831;;0.36714226;0.370878952;0.374009838;0.374918035;0.374680106;;-1.125764115;-1.369718923;-1.625242504;-1.710005741;-1.687289638
;2932022.006;3532917.743;4186444.38;4428713.006;4392618.182;;0.326566315;0.33014711;0.33328351;0.334297783;0.334151014;;-1.091885923;-1.315679366;-1.55908383;-1.649318926;-1.635874992
;2836700.091;3383784.819;4003007.054;4258102.686;4246589.824;;0.30015887;0.303575653;0.306712377;0.307837328;0.307788866;;-1.056385611;-1.260136581;-1.490761972;-1.585773443;-1.581485392
;2753979.43;3256935.291;3846618.421;4110859.227;4119317.75;;0.368000082;0.373478684;0.378808471;0.38090665;0.380970086;;-1.02557848;-1.21289338;-1.432515152;-1.530931779;-1.534082189
;2681779.188;3148593.784;3712759.443;3983151.936;4007727.571;;0.355699218;0.360962073;0.366264937;0.368495895;0.368690733;;-0.998689516;-1.172543497;-1.382659956;-1.483366916;-1.492520134
;2609517.481;3042325.124;3581144.331;3855955.804;3895403.662;;0.35386243;0.358912698;0.364180247;0.366535695;0.366858447;;-0.971777768;-1.132965858;-1.333640895;-1.435992836;-1.450685111
;2537684.565;2938749.942;3452650.894;3730248.268;3783244.449;;0.353599641;0.358444226;0.363670524;0.36614288;0.366590459;;-0.945025814;-1.094391586;-1.285784869;-1.389173569;-1.408911737
;2465561.81;2836743.352;3325986.648;3604887.589;3670265.847;;0.336194265;0.340843216;0.346026442;0.348612753;0.349186297;;-0.918166021;-1.056401722;-1.238610476;-1.342483863;-1.36683349
;2392234.494;2734964.087;3199579.291;3478409.149;3555162.332;;0.316677632;0.321136197;0.326272335;0.328969627;0.329670543;;-0.890857732;-1.018496736;-1.191532117;-1.295378229;-1.323964143
;2318047.665;2633851.438;3074057.958;3351522.985;3438589.467;;0.308309408;0.312578472;0.317659806;0.32046118;0.321287113;;-0.863229453;-0.980840223;-1.144784092;-1.248121111;-1.280547862
;2243507.897;2534034.772;2950281.878;3225192.891;3321457.262;;0.300477308;0.304567251;0.309593175;0.312496632;0.313449561;;-0.835469839;-0.943666563;-1.098686387;-1.201071456;-1.236923574
;2169145.551;2436138.434;2829093.616;3100388.577;3204706.509;;0.303755197;0.307668734;0.312632491;0.315629563;0.316705052;;-0.807776404;-0.907208263;-1.053552773;-1.1545904;-1.193441659
;2095587.483;2340880.657;2711438.857;2978204.637;3089418.509;;0.309613068;0.313357552;0.318255934;0.321339711;0.322534264;;-0.780382592;-0.871732788;-1.009735418;-1.109085582;-1.150504818
;2022376.735;2247567.114;2596510.654;2857921.533;2974974.846;;0.303829727;0.307418052;0.312253293;0.315422077;0.316736946;;-0.753118225;-0.836981543;-0.966933769;-1.064289;-1.107882719
;1948661.51;2155038.686;2482929.999;2738193.627;2860140.453;;0.292060499;0.295497869;0.30026728;0.303516691;0.304951023;;-0.725666084;-0.802522849;-0.924634233;-1.019699489;-1.065115382
;1873945.062;2062624.361;2369921.622;2618282.807;2744237.697;;0.276675279;0.279970848;0.284675546;0.288005315;0.289562357;;-0.697841178;-0.768106805;-0.882548075;-0.97504215;-1.021950437
