cap;ice;temp
16105599.31;0.695364187;-6.001331407
14361264.46;0.515802132;-5.350737091
12407569.76;0.450134468;-4.622296077
10406001.08;0.452117642;-3.876234009
8383123.768;0.409448298;-3.122430313
7680835.393;0.394219838;-2.86077111
7266649.08;0.403682242;-2.70646219
6862774.784;0.405029817;-2.556001194
6466131.087;0.404520552;-2.408239518
6077514.883;0.40838124;-2.263473482
5694421.661;0.399143952;-2.12076963
5309105.951;0.376221401;-1.977242469
4924330.374;0.376153475;-1.833920875
4534436.976;0.334718988;-1.688697236
4129880.483;0.307172028;-1.538016323
3783664.087;0.37859291;-1.40906803
3486070.616;0.364093766;-1.298231655
3192298.99;0.360445017;-1.188820698
2904697.825;0.35840398;-1.081709682
2620562.348;0.338368199;-0.975891097
2336472.22;0.315616669;-0.870091021
2054221.964;0.304226983;-0.764977674
1776096.62;0.291991902;-0.66140191
1504457.578;0.290937128;-0.560242978
1242198.055;0.291774543;-0.462578144
988124.4303;0.27858161;-0.367962737
740122.8523;0.257185833;-0.275609437
498212.2406;0.226766856;-0.185525175
266561.8759;0.193283444;-0.099261047
97804.34625;0.140356081;-0.020698462
23243.35855;0.02615267;0.041160152
153.4985091;0;0.095218395
0;;0.149040865
