12.12.2022,5.3.2023,6.3.2023,7.3.2023,8.3.2023,9.3.2023,1.2.2023,2.2.2023,3.2.2023,5.1.2023,6.1.2023,7.1.2023,8.1.2023,21.11.2022
-6.001331407,-2.060743776,-3.149344699,-3.614780966,-3.260364654,-2.882328579,-1.538341742,-2.499480133,-3.216414161,-3.227752083,-4.551349611,-4.068562728,-2.81016325,-5.413171981
-5.350737091,-1.923737217,-2.871704143,-3.321822296,-3.050508422,-2.726291977,-1.412261039,-2.246249825,-2.907699,-2.910445725,-4.08100577,-3.739716018,-2.675005853,-4.529434326
-4.622296077,-1.756390871,-2.539318698,-2.961714998,-2.783787684,-2.52605591,-1.259228492,-1.944039418,-2.531551669,-2.565752235,-3.567788628,-3.364307498,-2.507020949,-3.53960604
-3.876234009,-1.587160061,-2.20954759,-2.596658184,-2.505799049,-2.315362468,-1.105480956,-1.645252724,-2.153152012,-2.221044657,-3.053305978,-2.97390286,-2.320544701,-2.525032174
-3.122430313,-1.417466671,-1.884699283,-2.231006526,-2.221000827,-2.09747703,-0.952302687,-1.352039879,-1.776663058,-1.878913712,-2.542367303,-2.57477891,-2.119986458,-1.499003981
-2.86077111,-1.35881269,-1.774086035,-2.105048524,-2.121197167,-2.020440716,-0.899723168,-1.252676076,-1.647782617,-1.761640491,-2.367304291,-2.435127666,-2.047117953,-1.143643414
-2.70646219,-1.324216792,-1.710211785,-2.031393652,-2.061543614,-1.973813859,-0.868920453,-1.195513588,-1.572926839,-1.693316263,-2.26564672,-2.351873556,-2.001545574,-0.934173408
-2.556001194,-1.290414413,-1.649124707,-1.960141429,-2.002622983,-1.927187477,-0.839021763,-1.141052022,-1.500989871,-1.62738524,-2.167944722,-2.269858163,-1.954647971,-0.730206295
-2.408239518,-1.257106616,-1.590203674,-1.890693232,-1.944049534,-1.88027198,-0.809752466,-1.088730303,-1.431334745,-1.563218762,-2.073287307,-2.188533908,-1.906253228,-0.530604394
-2.263473482,-1.224322573,-1.533428353,-1.82313693,-1.885995347,-1.833219519,-0.781128481,-1.038522955,-1.364020836,-1.500834575,-1.981716673,-2.108129936,-1.85662134,-0.336518099
-2.12076963,-1.191817236,-1.478309563,-1.756989664,-1.828133618,-1.785778334,-0.752927192,-0.989990893,-1.298542735,-1.439733272,-1.892510525,-2.028183818,-1.805575959,-0.148351239
-1.977242469,-1.158898614,-1.423638159,-1.690878436,-1.769323542,-1.737014292,-0.724544514,-0.942069181,-1.233530506,-1.378600413,-1.803765688,-1.947112976,-1.752171178,0.034187281
-1.833920875,-1.125764115,-1.369718923,-1.625242504,-1.710005741,-1.687289638,-0.696147723,-0.895025257,-1.169408873,-1.317799038,-1.716029081,-1.865521026,-1.69685096,0.113597292
-1.688697236,-1.091885923,-1.315679366,-1.55908383,-1.649318926,-1.635874992,-0.667283413,-0.848100389,-1.105201461,-1.256364451,-1.627929382,-1.782219823,-1.638840595,0.197765477
-1.538016323,-1.056385611,-1.260136581,-1.490761972,-1.585773443,-1.581485392,-0.637207012,-0.800103885,-1.039329236,-1.192726225,-1.53724893,-1.695158783,-1.576698548,0.281811687
-1.40906803,-1.02557848,-1.21289338,-1.432515152,-1.530931779,-1.534082189,-0.611135251,-0.759321209,-0.983363845,-1.138183964,-1.460195926,-1.62021087,-1.521944322,0.35889126
-1.298231655,-0.998689516,-1.172543497,-1.382659956,-1.483366916,-1.492520134,-0.588428751,-0.724559944,-0.935685948,-1.09120854,-1.394442354,-1.555354655,-1.473383929,0.428724736
-1.188820698,-0.971777768,-1.132965858,-1.333640895,-1.435992836,-1.450685111,-0.565818119,-0.690629143,-0.889131883,-1.044769185,-1.329946914,-1.490863731,-1.423984841,0.497498597
-1.081709682,-0.945025814,-1.094391586,-1.285784869,-1.389173569,-1.408911737,-0.543454989,-0.65772558,-0.844007513,-0.999185559,-1.267143307,-1.427252978,-1.374198817,0.565267082
-0.975891097,-0.918166021,-1.056401722,-1.238610476,-1.342483863,-1.36683349,-0.521106448,-0.625479985,-0.79984195,-0.953982182,-1.20536902,-1.363927743,-1.323613528,0.632073408
-0.870091021,-0.890857732,-1.018496736,-1.191532117,-1.295378229,-1.323964143,-0.498479932,-0.593456666,-0.756072498,-0.908566741,-1.143816511,-1.300118119,-1.271645559,0
-0.764977674,-0.863229453,-0.980840223,-1.144784092,-1.248121111,-1.280547862,-0.475681645,-0.561793947,-0.712918308,-0.863165691,-1.08279328,-1.236193089,-1.218621282,0
-0.66140191,-0.835469839,-0.943666563,-1.098686387,-1.201071456,-1.236923574,-0.452863177,-0.530683598,-0.6706683,-0.818083323,-1.022701869,-1.172630845,-1.164974826,0
-0.560242978,-0.807776404,-0.907208263,-1.053552773,-1.1545904,-1.193441659,-0.43018331,-0.500314282,-0.629600919,-0.773630333,-0.963941308,-1.109915852,-1.111165325,0
-0.462578144,-0.780382592,-0.871732788,-1.009735418,-1.109085582,-1.150504818,-0.407832521,-0.470906133,-0.590030742,-0.730188789,-0.906993344,-1.048628856,-1.057752805,0
-0.367962737,-0.753118225,-0.836981543,-0.966933769,-1.064289,-1.107882719,-0.385660348,-0.442228316,-0.551663183,-0.687455847,-0.851439441,-0.988384268,-1.004462765,0
-0.275609437,-0.725666084,-0.802522849,-0.924634233,-1.019699489,-1.065115382,-0.363398035,-0.413909677,-0.514018573,-0.644908793,-0.796587013,-0.928484221,-0.950724093,0
-0.185525175,-0.697841178,-0.768106805,-0.882548075,-0.97504215,-1.021950437,-0.340886482,-0.385733215,-0.476827366,-0.602245838,-0.742041417,-0.868540627,-0.896220675,0
-0.099261047,-0.669685485,-0.733769352,-0.840735401,-0.930407932,-0.978486114,-0.318155973,-0.357723111,-0.44013832,-0.559531988,-0.68788021,-0.80867735,-0.841093926,0
-0.020698462,-0.641375733,-0.699706309,-0.799447461,-0.886093376,-0.935024347,-0.295350723,-0.330040017,-0.404174975,-0.517064321,-0.63446976,-0.74933871,-0.785787259,0
0.041160152,-0.612897017,-0.665878619,-0.758647784,-0.842088822,-0.891571448,-0.272443685,-0.302634137,-0.368885209,-0.474776988,-0.581717101,-0.690462673,-0.730281091,0
0.095218395,-0.584306863,-0.632332744,-0.718400409,-0.798491556,-0.848239815,-0.249477707,-0.27553754,-0.334318208,-0.432758076,-0.529719578,-0.632196097,-0.674751583,0
0.149040865,-0.555722991,-0.599183763,-0.678848817,-0.75548506,-0.805229855,-0.22653479,-0.248829075,-0.300582582,-0.391148283,-0.478639139,-0.574759079,-0.619448603,0
0,-0.52731407,-0.566600912,-0.640195751,-0.713317183,-0.762809587,-0.203756121,-0.222649242,-0.267854919,-0.350232967,-0.42880668,-0.518559526,-0.564808074,0
0,-0.499157124,-0.534645653,-0.602512741,-0.672093081,-0.721106729,-0.18118724,-0.197030831,-0.236179413,-0.310102043,-0.380315654,-0.463741006,-0.511015916,0
0,-0.471220497,-0.503256114,-0.565723482,-0.631754387,-0.680084027,-0.158784739,-0.171904437,-0.205469005,-0.270638629,-0.333008457,-0.410160323,-0.457975429,0
0,-0.443589463,-0.472503064,-0.52990574,-0.592408998,-0.639872093,-0.13661306,-0.147324714,-0.175791137,-0.232005531,-0.287065401,-0.358053528,-0.405959816,0
0,-0.416281246,-0.442381554,-0.495047137,-0.554064301,-0.600499368,-0.114668762,-0.12327389,-0.147127413,-0.194204344,-0.242476296,-0.307440578,-0.355027066,0
0,-0.389259936,-0.412829778,-0.46106905,-0.516652745,-0.561916318,-0.092902813,-0.099689271,-0.11941228,-0.157208025,-0.199200725,-0.258304937,-0.305192175,0
0,-0.362423992,-0.383717489,-0.427815425,-0.480019654,-0.523981713,-0.071187979,-0.07643209,-0.092511257,-0.120806231,-0.156997969,-0.210405285,-0.256233427,0
0,-0.335717115,-0.354966849,-0.395191517,-0.444075794,-0.486619586,-0.049440521,-0.053394666,-0.066316033,-0.084834095,-0.115691318,-0.16356981,-0.207979455,0
0,-0.309174094,-0.326599617,-0.363215712,-0.408854812,-0.449880202,-0.027680368,-0.030583359,-0.04082099,-0.049400966,-0.075477403,-0.118049191,-0.160652726,0
0,-0.282756022,-0.298559958,-0.331819063,-0.374293295,-0.413712265,-0.005893895,-0.007957328,-0.015965898,-0.014392539,-0.036246226,-0.073959669,-0.114316635,0
0,-0.256272213,-0.270634501,-0.300759102,-0.340136787,-0.377863457,0.016230448,0.014832374,0.008588359,0.02061083,0.002377168,-0.031060877,-0.068858323,0
0,-0.229591732,-0.242677023,-0.269871685,-0.306216529,-0.342168811,0.039500907,0.038519926,0.033351068,0.055645976,0.040734604,0.010341987,-0.024466513,0
0,-0.202797821,-0.214766825,-0.239242379,-0.27263678,-0.306748864,0.064918843,0.063900669,0.058781001,0.092761602,0.077129851,0.047611261,0.017761362,0
0,-0.176002498,-0.187012275,-0.208987013,-0.239534063,-0.271758632,0.091520966,0.090469265,0.085555729,0.129726651,0.11425654,0.085495267,0.054622796,0
0,-0.149162629,-0.159362343,-0.179048411,-0.206856247,-0.237154834,0.118104057,0.117007713,0.112271457,0.16654788,0.151190466,0.12337688,0.093162627,0
0,-0.122151447,-0.13168412,-0.149284523,-0.174460001,-0.202797283,0.144667523,0.143516444,0.138931911,0.203230195,0.187947253,0.160981319,0.131366551,0
0,-0.094949098,-0.103958009,-0.119678121,-0.142337622,-0.16868705,0.171210604,0.169995557,0.165539803,0.239777225,0.224537822,0.198333169,0.16927054,0
0,-0.067677907,-0.076315544,-0.090372156,-0.110652142,-0.13500279,0,0,0,0,0,0,0,0
0,-0.040502625,-0.048912669,-0.061538586,-0.079637469,-0.101995118,0,0,0,0,0,0,0,0
0,-0.01356971,-0.021884952,-0.033289467,-0.049417393,-0.069876164,0,0,0,0,0,0,0,0
0,0.013075415,0.004720489,-0.00564862,-0.020019101,-0.038688086,0,0,0,0,0,0,0,0
0,0.039557432,0.030855257,0.021363286,0.008540524,-0.008472948,0,0,0,0,0,0,0,0
0,0.064830414,0.055748825,0.047603801,0.036108777,0.02049767,0,0,0,0,0,0,0,0
0,0.090669925,0.081597305,0.073105475,0.061278036,0.047163863,0,0,0,0,0,0,0,0
0,0.116385928,0.107315813,0.098760697,0.087133208,0.073016476,0,0,0,0,0,0,0,0
0,0.141983913,0.132909951,0.124290125,0.112837589,0.098984912,0,0,0,0,0,0,0,0
0,0.167544251,0.158460413,0.149775563,0.138477507,0.124867401,0,0,0,0,0,0,0,0
