hours;T 272
20184;5.433733208
20208;5.165421243
20232;4.885962433
20256;4.659932529
20280;4.45230419
20304;4.212562704
20328;3.984032252
20352;3.797676022
20376;3.647631877
20400;3.519494545
20424;3.420605599
20448;3.371056712
20472;3.315597564
20496;3.256669948
20520;3.218851848
20544;3.198103212
20568;3.187690961
20592;3.154516544
20616;3.109460642
20640;3.045116701
20664;2.973934622
20688;2.91926328
20712;2.89074628
20736;2.883292331
20760;2.878281461
20784;2.858642876
20808;2.820308901
20832;2.75622626
20856;2.667055747
20880;2.551102962
20904;2.420657128
20928;2.276994939
20952;2.121233581
20976;1.962344661
21000;1.808481807
21024;1.668436181
21048;1.545629994
21072;1.443621393
21096;1.357691712
21120;1.286222314
21144;1.225943474
21168;1.173624708
21192;1.126106436
21216;1.079624041
21240;1.029018068
21264;0.971506656
21288;0.912283271
21312;0.858847054
21336;0.811555717
21360;0.768456671
21384;0.728903518
21408;0.689096673
21432;0.646402524
21456;0.592262874
21480;0.518016172
21504;0.432040949
21528;0.345073864
21552;0.268079303
21576;0.205841554
21600;0.160746722
21624;0.125066965
21648;0.095775542
21672;0.071112676
21696;0.049098185
21720;0.026953287
21744;0.001271521
21768;-0.025184891
21792;-0.050710634
21816;-0.073136507
21840;-0.091997538
21864;-0.107874285
21888;-0.120513124
21912;-0.129556813
21936;-0.136429341
21960;-0.142795486
21984;-0.150116117
22008;-0.158986082
22032;-0.170877095
22056;-0.18958952
22080;-0.216343407
22104;-0.246268919
22128;-0.274440043
22152;-0.297905483
22176;-0.318551017
22200;-0.333290196
22224;-0.339680427
22248;-0.340342298
22272;-0.336189888
22296;-0.328765226
22320;-0.319995033
22344;-0.310330767
22368;-0.30036452
22392;-0.28935097
22416;-0.278114601
22440;-0.266814357
22464;-0.255635505
22488;-0.24490547
22512;-0.234706726
22536;-0.225626564
22560;-0.218233889
22584;-0.212662686
22608;-0.20795883
22632;-0.204331174
22656;-0.201740213
22680;-0.200156526
22704;-0.200285284
22728;-0.204708372
22752;-0.214406986
22776;-0.228655344
22800;-0.244084338
22824;-0.257899983
22848;-0.268808544
22872;-0.27697155
22896;-0.283355176
22920;-0.288821883
22944;-0.293584229
22968;-0.297566715
22992;-0.30091066
23016;-0.303570441
23040;-0.305320678
23064;-0.306376059
23088;-0.30701635
23112;-0.307705823
23136;-0.309329971
23160;-0.314795445
23184;-0.325260037
23208;-0.338870113
23232;-0.35460095
23256;-0.372399232
23280;-0.391102448
23304;-0.407953479
23328;-0.422919342
23352;-0.434404074
23376;-0.443340968
23400;-0.450701561
23424;-0.457167057
23448;-0.463355866
23472;-0.47112787
23496;-0.482173191
23520;-0.497967495
23544;-0.516864869
23568;-0.536686905
23592;-0.555117271
23616;-0.573647165
23640;-0.591892051
23664;-0.608052035
23688;-0.624179486
23712;-0.639012086
23736;-0.655292035
23760;-0.6691891
23784;-0.682532462
23808;-0.693861684
23832;-0.703053953
23856;-0.712231804
23880;-0.722948266
23904;-0.733395813
23928;-0.74776944
23952;-0.76241529
23976;-0.780103711
24000;-0.796526186
24024;-0.81261668
24048;-0.82629542
24072;-0.838395401
24096;-0.845941677
24120;-0.852374475
24144;-0.857470023
24168;-0.861148734
24192;-0.863439307
24216;-0.864256112
24240;-0.863577086
24264;-0.861590461
24288;-0.858658236
24312;-0.85515293
24336;-0.851378838
24360;-0.847603603
24384;-0.841081216
24408;-0.835928604
24432;-0.83153353
24456;-0.827612988
24480;-0.821653155
24504;-0.816131958
24528;-0.811554891
24552;-0.806813664
24576;-0.798773454
24600;-0.792515189
24624;-0.784463568
24648;-0.775979283
24672;-0.76688219
24696;-0.757726486
24720;-0.747077025
24744;-0.737735989
24768;-0.726704867
24792;-0.714973847
24816;-0.703719336
24840;-0.692662514
24864;-0.681579582
24888;-0.669682619
24912;-0.657553592
24936;-0.645398504
24960;-0.632449586
24984;-0.619414005
25008;-0.606678965
25032;-0.594048116
25056;-0.581509315
25080;-0.569135347
25104;-0.55696368
25128;-0.544995489
25152;-0.522330577
25176;-0.150735545
25200;0.369749503
25224;0.789038576
25248;1.211165852
25272;1.704356652
25296;2.255749682
25320;2.8205915
25344;3.305935985
25368;3.679428903
25392;3.9504491
25416;4.097803651
25440;4.184244461
25464;4.238580524
25488;4.293540979
25512;4.367723998
25536;4.44059963
25560;4.414066895
25584;4.346739759
25608;4.345900976
25632;4.416548982
25656;4.521422348
25680;4.607012583
25704;4.660010884
25728;4.701093387
25752;4.772712086
25776;4.952976219
25800;5.262015321
25824;5.617919064
25848;5.948750874
25872;6.263789546
25896;6.539988688
25920;6.757717006
25944;6.974798162
25968;7.269167268
25992;7.61520213
26016;7.973476137
26040;8.255226381
26064;8.451202655
26088;8.667570201
26112;8.936908476
26136;9.232444143
26160;9.487151944
26184;9.711583646
26208;9.928577983
26232;10.12247665
